Target, #TripleInThatClass, TimeSinceStartOfVerification(ms)
violated, 8417, 5247
violated, 1572, 5176
violated, 9697, 5272
violated, 1697, 5178
violated, 5283, 5207
violated, 4865, 5204
violated, 6826, 5236
violated, 2234, 5183
violated, 7520, 5241
violated, 6930, 5237
violated, 9440, 5270
violated, 5280, 5207
violated, 5662, 5225
violated, 754, 5149
violated, 4615, 5202
violated, 302, 5146
violated, 5213, 5206
violated, 9108, 5252
violated, 3918, 5197
violated, 5028, 5205
violated, 1529, 5176
violated, 1353, 5168
violated, 4709, 5203
violated, 8111, 5245
violated, 8310, 5247
violated, 7096, 5238
violated, 9431, 5270
violated, 7244, 5239
violated, 6720, 5235
violated, 8060, 5245
violated, 4624, 5202
violated, 7129, 5238
violated, 2760, 5189
violated, 8165, 5246
violated, 4168, 5199
violated, 9282, 5253
violated, 933, 5150
violated, 48, 5144
violated, 3937, 5197
violated, 5604, 5225
violated, 7995, 5244
violated, 8214, 5246
violated, 4601, 5202
violated, 2117, 5182
violated, 1272, 5167
violated, 4660, 5202
violated, 6476, 5234
violated, 2729, 5189
violated, 7537, 5241
violated, 9922, 5553
violated, 8543, 5248
violated, 9896, 5543
violated, 2277, 5184
violated, 6911, 5237
violated, 88, 5144
violated, 7130, 5238
violated, 3944, 5197
violated, 6371, 5233
violated, 4282, 5200
violated, 8747, 5250
violated, 1860, 5179
violated, 4690, 5202
violated, 3565, 5194
violated, 8503, 5248
violated, 1120, 5151
violated, 5166, 5206
violated, 9122, 5252
violated, 2581, 5187
violated, 3503, 5194
violated, 3083, 5191
violated, 2892, 5190
violated, 7738, 5243
violated, 3979, 5197
violated, 3350, 5193
violated, 6889, 5237
violated, 1577, 5176
violated, 1432, 5169
violated, 8493, 5248
violated, 2714, 5188
violated, 5920, 5228
violated, 1364, 5168
violated, 7988, 5244
violated, 6491, 5234
violated, 2324, 5184
violated, 2382, 5185
violated, 8283, 5246
violated, 4188, 5199
violated, 9736, 5273
violated, 4773, 5203
violated, 2220, 5183
violated, 2764, 5189
violated, 8907, 5251
violated, 5888, 5228
violated, 645, 5148
violated, 2648, 5188
violated, 7912, 5244
violated, 7072, 5238
violated, 681, 5148
violated, 5664, 5225
violated, 6245, 5232
violated, 6737, 5235
violated, 4631, 5202
violated, 980, 5150
violated, 3163, 5192
violated, 7582, 5241
violated, 9504, 5271
violated, 2255, 5184
violated, 5978, 5229
violated, 8950, 5251
violated, 6553, 5234
violated, 6452, 5233
violated, 4598, 5202
violated, 8426, 5247
violated, 6669, 5235
violated, 8960, 5251
violated, 9333, 5269
violated, 7836, 5243
violated, 277, 5146
violated, 9434, 5270
violated, 5634, 5225
violated, 4334, 5200
violated, 2825, 5189
violated, 6453, 5233
violated, 188, 5145
violated, 785, 5149
violated, 2550, 5187
violated, 185, 5145
violated, 7403, 5240
violated, 8103, 5245
violated, 8109, 5245
violated, 6323, 5232
violated, 7223, 5239
violated, 462, 5147
violated, 7565, 5241
violated, 8765, 5250
violated, 1058, 5151
violated, 8501, 5248
violated, 6934, 5237
violated, 6876, 5236
violated, 7496, 5241
violated, 2633, 5188
violated, 7614, 5242
violated, 3201, 5192
violated, 2755, 5189
violated, 9198, 5253
violated, 1153, 5167
violated, 2876, 5190
violated, 3591, 5195
violated, 817, 5149
violated, 5587, 5224
violated, 2952, 5190
violated, 5975, 5229
violated, 1262, 5167
violated, 7506, 5241
violated, 9566, 5271
violated, 5750, 5226
violated, 6660, 5235
violated, 4656, 5202
violated, 6036, 5229
violated, 6680, 5235
violated, 9845, 5498
violated, 8032, 5245
violated, 9966, 5601
violated, 9047, 5252
violated, 7882, 5244
violated, 8753, 5250
violated, 7940, 5244
violated, 200, 5145
violated, 8916, 5251
violated, 9246, 5253
violated, 3238, 5192
violated, 2413, 5185
violated, 5318, 5207
violated, 6961, 5237
violated, 6184, 5231
violated, 2736, 5189
violated, 3298, 5193
violated, 8874, 5251
violated, 9855, 5501
violated, 7931, 5244
violated, 6218, 5231
violated, 6882, 5237
violated, 4105, 5198
violated, 988, 5151
violated, 7459, 5241
violated, 5883, 5228
violated, 4110, 5198
violated, 4756, 5203
violated, 7143, 5238
violated, 5042, 5205
violated, 2165, 5183
violated, 6479, 5234
violated, 3951, 5197
violated, 7606, 5242
violated, 8419, 5247
violated, 8138, 5245
violated, 4559, 5201
violated, 4932, 5204
violated, 9733, 5273
violated, 9376, 5270
violated, 1930, 5180
violated, 3552, 5194
violated, 6250, 5232
violated, 4658, 5202
violated, 1250, 5167
violated, 923, 5150
violated, 3749, 5196
violated, 8071, 5245
violated, 3221, 5192
violated, 4258, 5199
violated, 1446, 5175
violated, 875, 5150
violated, 3694, 5195
violated, 8807, 5250
